Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Blackbaud Inc,2020-07-28 03:47:00,TARNEW,BLKB.O,Cancer Research Institute Issues Statement on Blackbaud Data Breach,unknown,Technology,09227Q10,Data-breach,1.0,,,,,,,,,,BLKB,O,2020-07-28
Boeing Co,2014-05-19 23:30:16,RINB,BOEB.L,Boeing Co - Chinese national pleads guilty in U.S. to computer hacking conspiracy - Reuters News,unknown,Industrials,09702310,Data-breach,1.0,,,,,,,,,,BOEB,L,2014-05-19
Brightcove Inc,2014-09-24 16:30:31,RTRS,BCOV.O,BRIEF-Brightcove suffered service disruption due to denial-of-service attack on Sept 18,unknown,Technology,10921T10,Ddos,,,,,,1.0,,,,,BCOV,O,2014-09-24
CH Robinson Worldwide Inc,2021-05-13 15:19:07,RTRS,CHRW.O,BRIEF-C.H. Robinson Says Anticipate Impact From Colonial Pipeline Hack To Be Minimal And Temporary,unknown,Industrials,12541W20,Shutdown,,,,,,1.0,,,,,CHRW,O,2021-05-13
CME Group Inc,2013-11-15 13:22:37,RTRS,CME.O,CME Group says its Clearport system was hacked in July,unknown,Financials,12572Q10,Data-breach,1.0,,,,,,,,,,CME,O,2013-11-15
Caesars Entertainment Inc,2023-09-13 15:05:22,TWTR,CZR.O,MEDIA-Caesars Entertainment paid millions in ransom in recent cyberattack- Bloomberg News,unknown,Consumer Cyclicals,12769G10,Ransomware,,,,,1.0,,,,,,CZR,O,2023-09-13
Cisco Systems Inc,2015-09-15 03:08:14,RTRS,CSCO.O,CORRECTED-UPDATE 2-Cisco router break-ins bypass cyber defences,unknown,Technology,17275R10,Code-vulnerability,,1.0,,,,,,,,,CSCO,O,2015-09-15
Cisco Systems Inc,2022-09-13 04:07:24,REGISU,CSCO.O,"Cisco: Yes, Yanluowang leaked our data. No, it's not serious",unknown,Technology,17275R10,Data-breach,1.0,,,,,,,,,,CSCO,O,2022-09-13
Citi Trends Inc,2023-08-17 08:00:16,PRN,CTRN.O,PRIVACY ALERT: Citi Trends Retailer Under Investigation for Data Breach of Employee Records,unknown,Consumer Cyclicals,17306X10,Data-breach,1.0,,,,,,,,,,CTRN,O,2023-08-17
Citrix Systems Inc,2019-03-08 12:20:23,RTRS,CTXS.O,BUZZ-Citrix Systems: Slips after company reveals network breach,unknown,Technology,17737610,Data-breach,1.0,1.0,,,,,,,,,CTXS,O,2019-03-08
Citrix Systems Inc,2022-12-13 14:38:14,RTRS,CTXS.O,UPDATE 1-U.S. agency warns that hackers are going after Citrix networking gear,unknown,Technology,17737610,Code-vulnerability,,1.0,,,,,,,,,CTXS,O,2022-12-13
Cognizant Technology Solutions Corp,2020-04-18 18:50:18,RTRS,CTSH.O,Cognizant hit by 'Maze' ransomware attack,unknown,Technology,19244610,Ransomware,,,,,1.0,,,,,,CTSH,O,2020-04-18
Coinbase Global Inc,2021-10-01 12:27:43,RTRS,COIN.O,"Coinbase says hackers stole cryptocurrency from at least 6,000 customers",unknown,Technology,19260Q10,Stolen Funds,,,,,,,,,1.0,,COIN,O,2021-10-01
Coinbase Global Inc,2023-02-22 14:37:29,COITEL,COIN.O,Coinbase discloses recent cyberattack targeting employees,unknown,Technology,19260Q10,Data-breach,1.0,,,,,,,,,,COIN,O,2023-02-22
Copper Mountain Mining Corp,2022-12-29 16:30:03,RTRS,CMMC.TO,BRIEF-Copper Mountain Mining Subject To Ransomware Attack,unknown,Basic Materials,21750U10,Ransomware,,,,,1.0,,,,,,CMMC,TO,2022-12-29
Cornerstone Building Brands Inc,2020-08-11 09:32:26,RTRS,CNR.N,BRIEF-Cornerstone Building Brands Says A Ransomware Attack Impacted Some Of Its Operational And Information Technology Systems,unknown,Consumer Cyclicals,21925D10,Ransomware,,,,,1.0,1.0,,,,,CNR,N,2020-08-11
D-Box Technologies Inc,2021-07-14 09:54:20,RTRS,DBO.TO,BRIEF-D-BOX Technologies Announces Ransomware Cyber Attack,TORONTO STOCK EXCHANGE,Consumer Cyclicals,23305P10,Ransomware,,,,,1.0,,,,,,DBO,TO,2021-07-14
DISH Network Corp,2023-02-27 14:47:30,MSNAUS,DISH.O,Dish Network down following suspected cyberattack,unknown,Consumer Cyclicals,25470M10,Shutdown,,,,,,1.0,,,,,DISH,O,2023-02-27
Dixie Group Inc,2021-04-19 13:53:20,RTRS,DXYN.O,BRIEF-Dixie Group Announces Ransomware Attack,unknown,Consumer Cyclicals,25551910,Ransomware,,,,,1.0,,,,,,DXYN,O,2021-04-19
DocuSign Inc,2017-05-16 04:33:59,RTRS,DOCU.OQ,MEDIA-Breach at DocuSign led to targeted email malware campaign- KrebsOnSecurity,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,25616310,Data-breach,1.0,1.0,,,,,,,,,DOCU,OQ,2017-05-16
DoorDash Inc,2019-09-26 16:30:37,RTRS,DASH.K,United States : CFO Jimmy Patronis: DoorDash Data Breach Affects 4.9 Million Users,unknown,Technology,25809K10,Data-breach,1.0,,,,,,,,,,DASH,K,2019-09-26
Dropbox Inc,2022-11-01 19:36:35,COMCOM,DBX.O,Dropbox code compromised in phishing attack,unknown,Technology,26210C10,Phishing,,1.0,,1.0,,,,,,,DBX,O,2022-11-01
E W Scripps Co,2022-12-15 16:32:10,VERGEA,FUBO.N,FuboTV is down during a World Cup semifinal,unknown,Consumer Cyclicals,81105440,Shutdown,,,,,,1.0,,,,,FUBO,N,2022-12-15
Empire Company Ltd,2022-11-08 01:33:58,TORSTA,EMPa.TO,Sobeys parent company says cyberattack will cost them $32 million,TORONTO STOCK EXCHANGE,Consumer Non-Cyclicals,29184340,Shutdown,,,,,,1.0,,,,,EMPa,TO,2022-11-08
Equinix Inc,2020-09-10 06:50:48,RTRS,EQIX.O,BRIEF-Equinix Inc - Investigating A Security Incident Detected That Involves Ransomware On Some Of Internal Systems,unknown,Real Estate,29444U70,Ransomware,,,,,1.0,,,,,,EQIX,O,2020-09-10
Exco Technologies Ltd,2023-01-23 08:20:04,RTRS,XTC.TO,EXCO TECHNOLOGIES LTD - ANNOUNCES THREE PRODUCTION FACILITIES WITHIN LARGE MOULD GROUP ARE RECOVERING FROM A CYBER INCIDENT,TORONTO STOCK EXCHANGE,Consumer Cyclicals,30150P10,Code-vulnerability,,,,,,1.0,,,,,XTC,TO,2023-01-23
Expedia Group Inc,2018-03-20 10:20:52,RTRS,EXPE.O,"Expedia's Orbitz says 880,000 payment cards hit by security breach",unknown,Consumer Cyclicals,30212P30,Data-breach,1.0,,,,,,,,,,EXPE,O,2018-03-20
Expedia Group Inc,2020-11-11 05:30:00,INDEPE,EXPE.O,Data breach potentially exposes details of millions of booking.com and Expedia customers,unknown,Consumer Cyclicals,30212P30,Data-breach,1.0,,,,,,,,,,EXPE,O,2020-11-11
First Merchants Corp,2023-07-05 08:04:00,RTRS,FRME.O,"FIRST MERCHANTS: BASED ON INVESTIGATION, BANK'S CUSTOMERS WHO USE ONLINE,MOBILE BANKING COULD HAVE HAD PERSONAL INFORMATION COPIED THROUGH CYBERATTACK",unknown,Financials,32081710,Data-breach,1.0,,,,,,,,,,FRME,O,2023-07-05
Flagstar Bancorp Inc,2021-03-15 14:34:17,AMERBA,FBC.N,"Flagstar's data breach, and what banks can learn from it",unknown,Financials,33793070,Data-breach,1.0,,,,,,,,,,FBC,N,2021-03-15
Flagstar Bancorp Inc,2022-06-24 12:31:09,BSW,FBC.N,"Federman & Sherwood Investigates Flagstar Bank (Flagstar Bancorp, Inc.) for Data Breach",unknown,Financials,33793070,Data-breach,1.0,,,,,,,,,,FBC,N,2022-06-24
Fortinet Inc,2023-01-14 14:00:59,PUBT,FTNT.O,"Fortinet Inc. - Supply Chain Attack Using Identical PyPI Packages, “colorslib”, “httpslib”, and “libhttps”",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,3.4959E+11,Supply-Chain,,,,,,,,,,1.0,FTNT,O,2023-01-14
