Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Microsoft Corp,2014-04-27 17:30:07,RTRS,MSFT.O,Microsoft rushes to fix browser after attacks  no fix for XP users,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2014-04-27
Microsoft Corp,2014-06-30 15:35:50,RTRS,MSFT.O,"Microsoft says disrupts cybercrime rings with roots in Kuwait, Algeria",unknown,Technology,59491810,Mitigation,,,,,,,,,,1.0,MSFT,O,2014-06-30
Microsoft Corp,2015-01-19 07:07:27,RTRS,MSFT.O,"REFILE-After Gmail blocked in China, Microsoft's Outlook hacked, says GreatFire",unknown,Technology,59491810,MITM,,1.0,,,,,,,,,MSFT,O,2015-01-19
Microsoft Corp,2016-11-01 15:27:15,RTRS,MSFT.O,Microsoft says Russia-linked hackers exploiting Windows flaw,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2016-11-01
Microsoft Corp,2017-04-26 20:33:39,RTRS,MSFT.O,REFILE-Hackers exploited Word flaw for months while Microsoft investigated,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2017-04-26
Microsoft Corp,2017-05-12 14:37:18,RTRS,MSFT.O,Don't click: What is the 'ransomware' WannaCry worm?,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,59491810,Ransomware,,1.0,,,,,,,,,MSFT,O,2017-05-12
Microsoft Corp,2017-06-28 01:14:14,INDEPE,MSFT.O,"WRAPUP 7-Cyber attack sweeps globe, researchers see 'WannaCry' link",unknown,Technology,59491810,Ransomware,,1.0,,,,,,,,,MSFT,O,2017-06-28
Microsoft Corp,2018-08-21 02:22:24,RTRS,MSFT.O,Russian hacking of conservative groups sites thwarted,unknown,Technology,59491810,Mitgation-special,,,,,,,,,,1.0,MSFT,O,2018-08-21
Microsoft Corp,2019-12-07 16:45:15,ASNEWS,MSFT.O,Microsoft discovers 44 million accounts using breached passwords,unknown,Technology,59491810,Data-breach,1.0,,,,,,,,,,MSFT,O,2019-12-07
Microsoft Corp,2020-12-14 04:46:43,RTRS,MSFT.O,Suspected Russian hackers spied on U.S. Treasury emails,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2020-12-14
Microsoft Corp,2022-07-29 13:35:17,RTRS,MSFT.O,Austrian spy firm accused by Microsoft says hacking tool was for EU states,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2022-07-29
Microsoft Corp,2022-10-01 02:00:56,HANIND,MSFT.O,Hackers exploiting 2 new zero-day bugs in Exchange Server: Microsoft1 Oct 2022 5:20 AM GMT,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2022-10-01
Microsoft Corp,2023-06-17 18:24:10,ASSOPR,MSFT.O,"Microsoft says early June disruptions to Outlook, cloud platform, were cyberattacks",unknown,Technology,59491810,Ddos,,,,,,1.0,,,,,MSFT,O,2023-06-17
Microsoft Corp,2023-09-06 14:58:13,RTRS,MSFT.O,MICROSOFT SAYS CHINA HACK OF US GOVERNMENT DEPARTMENTS STEMMED FROM COMPROMISE OF MICROSOFT ENGINEER'S CORPORATE ACCOUNT,unknown,Technology,59491810,Data-breach,1.0,,,,,,,,,,MSFT,O,2023-09-06
Middlefield Banc Corp,2023-04-21 17:04:33,EDG,MBCN.O,8k – form,unknown,Financials,59630420,Shutdown,,,,,,1.0,,,,,MBCN,O,2023-04-21
Minerva Neurosciences Inc,2019-10-01 08:27:37,RTRS,NERV.O,BUZZ-Minerva slides as cyber attack disrupts schizophrenia drug trial,unknown,Healthcare,60338020,Code-vulnerability,,,,,,1.0,,,,,NERV,O,2019-10-01
Moderna Inc,2020-07-30 14:16:17,RTRS,MRNA.O,EXCLUSIVE-Chinese-backed hackers targeted COVID-19 vaccine firm Moderna,unknown,Healthcare,60770K10,Data-breach,1.0,,,,,,,,,,MRNA,O,2020-07-30
Moderna Inc,2020-12-15 14:12:27,RTRS,MRNA.O,Moderna COVID-19 vaccine documents accessed in EMA cyberattack,unknown,Healthcare,60770K10,Data-breach,1.0,,,,,,,,,,MRNA,O,2020-12-15
Mondelez International Inc,2017-06-27 21:47:57,RTRS,MDLZ.O,Mondelez says cyber-attack affected systems up and running,unknown,Consumer Non-Cyclicals,60920710,Shutdown,,,,,,1.0,,,,,MDLZ,O,2017-06-27
Morningstar Inc,2013-07-04 20:00:00,RTRS,MORN.O,Morningstar says clients' credit card data may have been leaked,unknown,Industrials,61770010,Data-breach,1.0,,,,,,,,,,MORN,O,2013-07-04
NVIDIA Corp,2018-01-10 07:34:22,RTRS,NVDA.O,"Nvidia says some chipsets hit by Spectre, gives security patches",unknown,Technology,67066G10,Code-vulnerability,,1.0,,,,,,,,,NVDA,O,2018-01-10
NVIDIA Corp,2022-02-25 14:27:42,RTRS,NVDA.O,Chipmaker Nvidia investigating potential cyberattack - report,unknown,Technology,67066G10,Shutdown,,,,,,1.0,,,,,NVDA,O,2022-02-25
Nasdaq Inc,2013-07-17 20:00:00,RTRS,NDAQ.O,"Nasdaq forum website hacked, passwords compromised",unknown,Financials,63110310,Data-breach,1.0,,,,,,,,,,NDAQ,O,2013-07-17
Netflix Inc,2016-12-21 09:00:37,RTRS,NFLX.OQ,Hacker group takes over Netflix Twitter account,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,64110L10,Twitter-account-hack,,1.0,,,,,1.0,,,,NFLX,OQ,2016-12-21
Netflix Inc,2017-04-29 16:09:33,HAMSPE,NFLX.OQ,"'Dark Overlord' hacker releases stolen Netflix episodes, threatens more leaks",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,64110L10,Ransomware,1.0,,,,1.0,,,,,,NFLX,OQ,2017-04-29
News Corp,2022-02-04 00:49:00,INDEPE,NWSA.O,News Corp says it was hacked  believed to be linked to China,unknown,Consumer Cyclicals,65249B10,Data-breach,1.0,,,,,,,,,,NWSA,O,2022-02-04
NextGen Healthcare Inc,2023-05-08 11:19:07,WHADAY,NXGN.O,NextGen Healthcare says hackers have gained access to personal data of more than 1 million patients,unknown,Technology,65343C10,Data-breach,1.0,,,,,,,,,,NXGN,O,2023-05-08
Novavax Inc,2020-12-02 10:10:49,RTRS,NVAX.O,"North Korea-linked hackers targeted J&J, Novavax in hunt for COVID research",unknown,Healthcare,67000240,Data-breach,1.0,,,,,,,,,,NVAX,O,2020-12-02
Nuance Communications Inc,2017-06-27 08:50:11,RTRS,NUAN.OQ,BRIEF-Nuance comments on malware incident,unknown,Technology,67020Y10,Malware,,,1.0,,,,,,,,NUAN,OQ,2017-06-27
ODP Corp,2021-03-03 16:41:49,RTRS,ODP.O,BRIEF-Compucom Issues Statement Regarding Malware Incident,unknown,Consumer Cyclicals,88337F10,Malware,,,,,,1.0,,,,,ODP,O,2021-03-03
OPKO Health Inc,2019-06-06 09:37:06,RTRS,OPK.OQ,"BUZZ-Opko Health: Down on notice of data breach impacting nearly 422,600 patients",NASDAQ/NGS (GLOBAL SELECT MARKET),Healthcare,68375N10,Data-breach,1.0,,,,,,,,,,OPK,OQ,2019-06-06
Okta Inc,2022-03-21 19:00:00,USADAY,OKTA.O,Okta denies data breach after hackers claim they gained access to internal information,unknown,Technology,67929510,Data-breach,1.0,,,,,,,,,,OKTA,O,2022-03-21
Okta Inc,2022-12-21 09:45:24,TWTR,OKTA.O,EXCLUSIVE: #Okta says its GitHub source code repositories were stolen this December in a 'confidential' security notification sent to 'security contacts' that include IT managers at various organizations. ,unknown,Technology,67929510,Data-breach,,1.0,,,,,,,,,OKTA,O,2022-12-21
Olympia Financial Group Inc,2019-02-03 21:10:22,RTRS,OLY.TO,BRIEF-Olympia Says Co Was Subject To Ransomware Cyber Attack On Its Information Technology Systems,TORONTO STOCK EXCHANGE,Financials,68147210,Shutdown,,,,,1.0,1.0,,,,,OLY,TO,2019-02-03
Omnicell Inc,2022-05-09 09:00:23,RTRS,OMCL.O,"BRIEF-Omnicell - On May 4, 2022, Co Determined Certain Information Technology Systems Affected By Ransomware Impacting Certain Internal Systems",unknown,Healthcare,68213N10,Ransomware,,,,,1.0,1.0,,,,,OMCL,O,2022-05-09
Optex Systems Holdings Inc,2021-07-19 16:49:04,RTRS,OPXS.PK,"BRIEF-Optex Systems Holdings Inc - On July 13, Co Experienced A Ransomware Attack",unknown,Industrials,68384X20,Ransomware,,,,,,1.0,,,,,OPXS,PK,2021-07-19
Optical Cable Corp,2023-06-30 17:02:12,RTRS,OCC.O,8k – form,unknown,Technology,68382720,Code-vulnerability,,,1.0,,,,,,,,OCC,O,2023-06-30
Pacific Premier Bancorp Inc,2023-07-25 06:04:26,RTRS,PPBI.O,8k - form,unknown,Financials,69478X10,Data-breach,1.0,,,,,,,,,,PPBI,O,2023-07-25
PayPal Holdings Inc,2016-10-21 15:35:15,RTRS,PYPL.O,PayPal says some customers unable to make payments due to cyber attack on Dyn,unknown,Industrials,70450Y10,Shutdown,,,,,,1.0,,,,,PYPL,O,2016-10-21
PayPal Holdings Inc,2017-12-01 16:33:53,RTRS,PYPL.OQ,PayPal's Newly Acquired Unit TIO Networks Suffers Data Breach,NASDAQ/NGS (GLOBAL SELECT MARKET),Industrials,70450Y10,Data-breach,1.0,,,,,,,,,,PYPL,OQ,2017-12-01
PayPal Holdings Inc,2018-08-11 05:04:24,THEGRD,PYPL.O,Hackers accessing PayPal via voicemail? Security expert says it's possible,unknown,Industrials,70450Y10,Code-vulnerability,,1.0,,,,,,,,,PYPL,O,2018-08-11
PayPal Holdings Inc,2023-01-19 15:23:39,TWTR,PYPL.O,Thousands Of PayPal Accounts Hacked—Is Yours One Of Them?,unknown,Industrials,70450Y10,Data-breach,1.0,,,,,,,,,,PYPL,O,2023-01-19
Polished.Com Inc,2023-05-26 16:41:50,RTRS,POL.A,BRIEF-Polished.Com Experiences Hacking Attack Impacting Check-Out Page On Its Website,NYSE MKT LLC,Consumer Cyclicals,28252C10,Shutdown,,,,,,1.0,,,,,POL,A,2023-05-26
Progress Software Corp,2023-06-01 19:39:59,TWTR,PRGS.O,"Hackers use flaw in popular file transfer tool to steal data, U.S. researchers say",unknown,Technology,74331210,Data-breach,1.0,,,,,,,,,,PRGS,O,2023-06-01
Progress Software Corp,2023-07-10 15:33:36,TWTR,PRGS.O,1st Source Bank says it is another victim of Progress Software’s MOVEit hack ,unknown,Technology,74331210,Data-breach,1.0,1.0,,,,,,,,,PRGS,O,2023-07-10
Quicklogic Corp,2023-03-14 16:26:33,RTRS,QUIK.O,8k – form,unknown,Technology,74837P40,Ransomware,,,,,1.0,,,,,,QUIK,O,2023-03-14
RR Donnelley & Sons Co,2021-12-28 11:31:22,RTRS,RRD.N,BUZZ-RR Donnelley down after reporting system breach,unknown,Industrials,25786720,Code-vulnerability,,,,,,1.0,,,,,RRD,N,2021-12-28
Rackspace Technology Inc,2022-12-06 08:30:00,RTRS,RXT.O,RACKSPACE TECHNOLOGY INC SAYS ANNOUNCES RANSOMWARE INCIDENT AFFECTING ITS HOSTED EXCHANGE ENVIRONMENT,unknown,Technology,75010210,Ransomware,,,,,1.0,1.0,,,,,RXT,O,2022-12-06
Radiant Logistics Inc,2021-12-13 08:41:40,RTRS,RLGT.A,BRIEF-Radiant Logistics Says Detected A Ransomware Incident Impacting Its Operational And Information Technology Systems,NYSE MKT LLC,Industrials,75025X10,Ransomware,,,,,1.0,1.0,,,,,RLGT,A,2021-12-13
Reckitt Benckiser Group PLC,2017-06-28 05:29:08,RINB,RBGLY.PK,BRIEF-Reckitt Benckiser says some markets to experience delays after cyber attack,OTC MARKETS,Consumer Non-Cyclicals,75625520,Shutdown,,,,,,1.0,,,,,RBGLY,PK,2017-06-28
Robinhood Markets Inc,2020-10-09 15:13:54,RTRS,HOOD.O,Robinhood says some customer accounts may have become target of hackers,unknown,Technology,77070010,Data-breach,1.0,,,,,,,,,,HOOD,O,2020-10-09
Robinhood Markets Inc,2021-11-08 16:34:43,RTRS,HOOD.O,UPDATE 1-Robinhood says email addresses of 5 mln customers exposed in security breach,unknown,Technology,77070010,Data-breach,1.0,,,,,,,,,,HOOD,O,2021-11-08
Rumble Inc,2022-09-04 14:11:02,RTRS,RUM.O,VIDEO PLATFORM RUMBLE SAYS IT IS UNDEROING A MASSIVE DDOS ATTACK- TWEET,unknown,Technology,78137L10,Ddos,,,,,,1.0,,,,,RUM,O,2022-09-04
Rumble Inc,2022-11-15 20:50:34,RTRS,RUM.O,BRIEF-Rumble Says Co Is Currently Under A DDOS Attack - Tweet,unknown,Technology,78137L10,Ddos,,,,,,1.0,,,,,RUM,O,2022-11-15
Sabre Corp,2015-08-07 05:44:33,RTRS,SABR.O,"China-linked hackers breach American Airlines, Sabre systems - Bloomberg",unknown,Technology,78573M10,Code-vulnerability,,,1.0,,,,,,,,SABR,O,2015-08-07
Sabre Corp,2017-05-03 11:44:52,RTRS,SABR.O,Sabre hires Mandiant to probe breach in hotel reservation system,unknown,Technology,78573M10,Code-vulnerability,,,1.0,,,,,,,,SABR,O,2017-05-03
Sabre Corp,2023-09-06 13:53:09,TWTR,SABR.O,Ransomware gang claims credit for Sabre data breach [Yahoo! UK],unknown,Technology,78573M10,Data-breach,1.0,,,,,,,,,,SABR,O,2023-09-06
Salem Media Group Inc,2020-08-13 07:30:56,RTRS,SALM.O,BRIEF-Salem Media Says Co Detected Ransomware Attack Impacting Certain Of Its Operational & IT Systems,unknown,Consumer Cyclicals,79409310,Ransomware,,,,,1.0,1.0,,,,,SALM,O,2020-08-13
Sangoma Technologies Corp,2020-12-24 08:41:30,RTRS,STC.V,BRIEF-Sangoma Technologies Confirms Data Breach As Result Of Ransomware Attack,TORONTO STOCK EXCHANGE,Technology,80100R40,Ransomware,1.0,,,,1.0,,,,,,STC,V,2020-12-24
Scansource Inc,2023-05-16 16:20:00,RTRS,SCSC.O,ScanSource Provides Information on Cybersecurity Incident,unknown,Technology,80603710,Ransomware,,,,,1.0,,,,,,SCSC,O,2023-05-16
Sears Holdings Corp,2014-10-10 17:30:26,RTRS,SHLDQ.PK,SEARS HOLDINGS CORP SAYS KMART IS DEPLOYING FURTHER ADVANCED SOFTWARE TO PROTECT CUSTOMERS' INFORMATION,unknown,Consumer Cyclicals,81235010,Data-breach,1.0,,,,,,,,,,SHLDQ,PK,2014-10-10
Shopify Inc,2019-06-14 20:10:18,STRAIT,SHOP.TO,"Florist loses $24,000 to hackers on Shopify",TORONTO STOCK EXCHANGE,Technology,82509L10,Stolen Funds,,,,,,,,,1.0,,SHOP,TO,2019-06-14
Shopify Inc,2020-09-22 17:53:49,RTRS,SHOP.TO,BUZZ-Shopify: Falls after data breach of less than 200 merchants,TORONTO STOCK EXCHANGE,Technology,82509L10,Data-breach,1.0,,,,,,,,,,SHOP,TO,2020-09-22
Sinclair Inc,2021-10-18 08:23:11,RTRS,SBGI.O,U.S. TV station operator Sinclair hit by ransomware attack,unknown,Consumer Cyclicals,82924210,Ransomware,,,,,1.0,,,,,,SBGI,O,2021-10-18
SmileDirectClub Inc,2021-05-03 17:02:53,ZACKSC,SDC.O,BUZZ-SmileDirectClub: Falls as systems outage to impact Q2 results,OTC MARKETS,Healthcare,83192H10,Shutdown,,,,,,1.0,,,,,SDC,O,2021-05-03
Sophos Group Ltd,2022-12-13 13:14:07,PUBT,SHPPY.PK,Sophos Group Ltd. - Sophos Endpoint Tamper Protection Thwarts a Sophisticated Ransomware Attack,unknown,Technology,83578710,Mitigation,,,,,1.0,,,,,1.0,SHPPY,PK,2022-12-13
Starbucks Corp,2017-05-16 11:10:10,RTRS,SBUX.OQ,Payment system outages hit some Starbucks stores,NASDAQ/NGS (GLOBAL SELECT MARKET),Consumer Cyclicals,85524410,Code-vulnerability,,,,,,1.0,,,,,SBUX,OQ,2017-05-16
Starbucks Corp,2022-09-16 05:11:23,CHAASI,SBUX.O,"Starbucks Singapore hit by data breach involving customers' names, email and mobile numbers",unknown,Consumer Cyclicals,85524410,Data-breach,1.0,,,,,,,,,,SBUX,O,2022-09-16
Stelco Holdings Inc,2020-10-25 17:58:06,RTRS,STLC.TO,BRIEF-Stelco Announces Cybersecurity Attack,TORONTO STOCK EXCHANGE,Basic Materials,85852210,Shutdown,,,,,,1.0,,,,,STLC,TO,2020-10-25
Suncor Energy Inc,2023-06-25 23:57:31,NFC,SU.TO,Suncor Energy Responds to Cyber Security Incident,TORONTO STOCK EXCHANGE,Energy,86722410,Shutdown,,,,,,1.0,,,,,SU,TO,2023-06-25
T Stamp Inc,2022-05-20 16:53:24,RTRS,IDAI.O,MEDIA-Trust Stamp had dozens of peoples' data exposed in a data breach- Business Insider,unknown,Technology,87304840,Data-breach,1.0,,,,,,,,,,IDAI,O,2022-05-20
T-Mobile US Inc,2015-10-01 19:51:35,RTRS,TMUS.O,Connecticut says will investigate Experian breach of T-Mobile data,unknown,Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,O,2015-10-01
T-Mobile US Inc,2018-08-24 02:26:22,WASHPO,TMUS.O,"T-Mobile Says On August 20, Cyber-Security Team Discovered And Shut Down Unauthorized Access To Certain Information",unknown,Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,O,2018-08-24
T-Mobile US Inc,2019-11-22 15:36:22,BUSINT,TMUS.O,T-Mobile just told some customers that there was a data breach of their personal information. Here's how to check if you're affected. (TMUS),unknown,Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,O,2019-11-22
T-Mobile US Inc,2021-01-03 21:11:33,RTRS,TMUS.O,MEDIA-T-Mobile says hackers accessed some customer call records in data breach - Techcrunch,unknown,Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,O,2021-01-03
T-Mobile US Inc,2021-08-15 11:13:59,BUSINT,TMUS.O,T-Mobile Investigating Claims Of Massive Customer Data Breach,unknown,Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,O,2021-08-15
T-Mobile US Inc,2023-05-01 18:07:45,TWTR,TMUS.OQ,"@Capital_FinServ: Retweeted @BleepinComputer: T-Mobile is alerting customers of a second data breach since the start of the year after discovering that attackers had access to some customers' personal information for more than a month, starting late February 2023 - @serghei https://t.co/Itle9iBZyq",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,87259010,Data-breach,1.0,,,,,,,,,,TMUS,OQ,2023-05-01
T2 Biosystems Inc,2019-11-12 08:04:33,RTRS,TTOO.O,BRIEF-T2 Biosystems Reports Q3 Revenue Of $1.6 Mln,unknown,Healthcare,89853L20,Code-vulnerability,,,1.0,,,,,,,,TTOO,O,2019-11-12
TVA Group Inc,2017-09-12 13:19:40,RTRS,TVAb.TO,"TVA-‍BREACHED DATA DID CONTAIN PERSONAL INFORMATION PERTAINING TO ABOUT 1 MLN ANGLOPHONE, FRANCOPHONE USERS OF CANOE SITES FROM PERIOD​ IN WHICH BR...",TORONTO STOCK EXCHANGE,Consumer Cyclicals,87294820,Data-breach,1.0,,,,,,,,,,TVAb,TO,2017-09-12
Take-Two Interactive Software Inc,2022-09-18 18:18:20,TWTR,TTWO.OQ,Dozens of gameplay videos from Rockstar Games’ upcoming “Grand Theft Auto VI” videogame have been leaked online — and the hacker who’s taking credit for it also claims to be behind Uber’s recent data breach.,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,87405410,Data-breach,1.0,,,,,,,,,,TTWO,OQ,2022-09-18
Tecogen Inc,2023-05-03 12:39:53,RTRS,TGEN.PK,8k – form,OTC MARKETS,Industrials,87876P20,Ransomware,,,,,1.0,,,,,,TGEN,PK,2023-05-03
Telefonica SA,2017-05-12 09:18:47,RTRS,TEF.MC,"CORRECTED-UPDATE 2-Telefonica, other Spanish firms hit in ""ransomware"" attack",BOLSA DE MADRID,Technology,87938210,Ransomware,,,,,1.0,,,,,,TEF,MC,2017-05-12
Telkonet Inc,2021-09-28 01:00:00,TROREP,TKOI.PK,TELKONET INC: Hit by Ransomware Cyber Attack,OTC MARKETS,Industrials,87960410,Ransomware,,,,,1.0,,,,,,TKOI,PK,2021-09-28
Tesla Inc,2015-08-06 07:47:12,RTRS,TSLA.O,Hackers turn off Tesla Model S at low speed - FT,unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2015-08-06
Tesla Inc,2016-09-20 17:11:16,RTRS,TSLA.OQ,Tesla fixes security bugs after claims of Model S hack,NASDAQ/NGS (GLOBAL SELECT MARKET),Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,OQ,2016-09-20
Tesla Inc,2018-06-18 19:01:45,RTRS,TSLA.O,Tesla accuses former employee of hacking and transferring data,unknown,Consumer Cyclicals,88160R10,Data-breach,1.0,,,1.0,,,,,,,TSLA,O,2018-06-18
Tesla Inc,2018-09-10 16:56:28,BUSINT,TSLA.O,A group of researchers showed how a Tesla Model S can be hacked and stolen in seconds using only $600 worth of equipment (TSLA),unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2018-09-10
Tesla Inc,2020-05-04 21:41:00,BUSINT,TSLA.O,"A 'white-hat' hacker found old Tesla computers for sale on eBay that still had owners' data like addresses, wi-fi passwords and Netflix 'cookies' (...",unknown,Consumer Cyclicals,88160R10,Code-vulnerability,1.0,1.0,,,,,,,,,TSLA,O,2020-05-04
Tesla Inc,2020-08-27 20:21:11,RTRS,TSLA.O,MEDIA-Musk confirms Tesla factory was target of thwarted cyberattack - Bloomberg News,unknown,Consumer Cyclicals,88160R10,Mitigation,,,,,,,,,,1.0,TSLA,O,2020-08-27
Tesla Inc,2020-11-23 10:36:22,RTRS,TSLA.O,BRIEF-Tesla Model X Gets Hacked Through New Relay Attack - Electrek,unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2020-11-23
Tesla Inc,2021-05-13 14:32:45,RTRS,TSLA.O,MEDIA-Group of security researchers hack Tesla car using drone - Electrek,unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2021-05-13
Tesla Inc,2022-01-14 19:00:00,ECLPCM,TSLA.O,Russian Federation : Hacker hacked Tesla electric cars in 13 countries thanks to software vulnerability IT specialist got remote access to the func...,unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2022-01-14
Tesla Inc,2023-08-07 14:08:08,INDEPE,TSLA.O,Hackers crack Tesla software to get free features,unknown,Consumer Cyclicals,88160R10,Code-vulnerability,,1.0,,,,,,,,,TSLA,O,2023-08-07
Toronto-Dominion Bank,2022-11-28 14:12:03,TORSTA,TD.TO,TD Bank and Canada Post put MyMoney consumer loan program 'on pause' indefinitely after apparent cyber attack,TORONTO STOCK EXCHANGE,Financials,89116050,Code-vulnerability,,,,,,1.0,,,,,TD,TO,2022-11-28
TransAct Technologies Inc,2022-11-16 09:34:46,MARCON,TACT.O,"TransAct Technologies Discovered Criminal Cybersecurity Incident Impacting Operational, Information Technology Systems",unknown,Technology,89291810,Shutdown,,,,,,1.0,,,,,TACT,O,2022-11-16
Tripadvisor Inc,2014-09-22 14:00:13,RTRS,TRIP.OQ,BUZZ-TripAdvisor Inc: Unit reports data breach,NASDAQ/NGS (GLOBAL SELECT MARKET),Consumer Cyclicals,89694520,Data-breach,1.0,,,,,,,,,,TRIP,OQ,2014-09-22
Turkiye Garanti Bankasi AS,2015-12-24 23:17:00,RINB,TKGZY.PK,"Turkiye Garanti Bankasi AS - Turkish banks fend off cyberattacks, some transactions hit - Reuters",OTC MARKETS,Financials,90014860,Shutdown,,,,,,1.0,,,,,TKGZY,PK,2015-12-24
Twitter Inc,2013-04-21 20:00:00,RTRS,TWTR.N,Soccer-FIFA President Blatter's Twitter account hacked,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2013-04-21
Twitter Inc,2013-08-27 23:01:19,RTRS,TWTR.N,"CORRECTED-UPDATE 1-New York Times, Twitter hacked by Syrian group",unknown,Technology,90184L10,Shutdown,,,,,,1.0,,,,,TWTR,N,2013-08-27
Twitter Inc,2015-01-11 19:00:00,RTRS,TWTR.N,UPDATE 5-Apparent Islamic State backers hack U.S. military Twitter feed,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2015-01-11
Twitter Inc,2016-06-07 12:55:58,RTRS,TWTR.N,"NFL's Twitter account hacked, commissioner is fine -NFL",unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2016-06-07
Twitter Inc,2016-10-12 22:00:15,BUSINT,TWTR.N,'I've switched teams': A top Hillary Clinton campaign official's Twitter account got hacked,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2016-10-12
Twitter Inc,2016-12-21 09:00:37,RTRS,TWTR.N,Hacker group takes over Netflix Twitter account,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2016-12-21
Twitter Inc,2017-02-27 17:10:10,RTRS,TWTR.N,"TWITTER INC - IN OCTOBER 2016, CO EXPERIENCED A SERVICE OUTAGE AS A RESULT OF SEVERAL DISTRIBUTED DENIAL OF SERVICE ATTACKS ON ITS DOMAIN NAME SERV...",unknown,Technology,90184L10,Ddos,,,,,,1.0,,,,,TWTR,N,2017-02-27
Twitter Inc,2017-06-03 00:01:00,XINHUN,TWTR.N,Bahraini FM's Twitter account hacked,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2017-06-03
Twitter Inc,2017-08-16 20:00:00,WATREG,TWTR.N,"HBO, 'Game of Thrones' Twitter accounts hacked by ourmine",unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2017-08-16
Twitter Inc,2017-11-20 12:31:11,RTRS,TWTR.N,Zimbabwe minister Moyo's Twitter account hacked - family member,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2017-11-20
Twitter Inc,2018-02-06 05:45:05,ASNEWS,TWTR.N,Anupam Kher's Twitter account hacked,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2018-02-06
Twitter Inc,2018-08-12 14:40:08,WASHPO,TWTR.N,"NBC reporter's Twitter account posts Trump threats, Turkish propaganda after apparent hack",unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2018-08-12
Twitter Inc,2018-12-31 09:43:39,ZACKSC,TWTR.N,Twitter Accounts Get Hacked for Demo to Reveal Security Gaps,unknown,Technology,90184L10,Code-vulnerability,,,,,,,,,,,TWTR,N,2018-12-31
Twitter Inc,2019-06-11 09:42:44,HINDUT,TWTR.N,"After Amitabh Bachchan, Adnan Sami's Twitter account hacked, profile pic changed to Pakistan PM Imran Khan",unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2019-06-11
Twitter Inc,2019-08-30 16:01:01,RTRS,TWTR.N,Twitter CEO Jack Dorsey's account apparently hacked,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2019-08-30
Twitter Inc,2019-11-06 16:46:35,BUSINT,TWTR.N,Saudi Arabia reportedly paid Twitter employees to spy on users. Cybersecurity experts say insider spying is an issue that goes beyond Twitter. (TWTR),unknown,Technology,90184L10,Data-breach,1.0,,,1.0,,,,,,,TWTR,N,2019-11-06
Twitter Inc,2020-01-08 07:45:07,KUWANA,TWTR.N,Info. Min. forms independent cmte to probe KUNA Twitter hacking,unknown,Technology,90184L10,Twitter-account-hack,,,,,,,1.0,,,,TWTR,N,2020-01-08
